ts_micro,frame_index,wheel
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,-0
0,49,-0
0,50,-0
0,51,-0
0,52,-0
0,53,-2
0,54,-2
0,55,-3
0,56,-3
0,57,-3
0,58,-3
0,59,-4
0,60,-4
0,61,-4
0,62,-4
0,63,-4
0,64,-4
0,65,-4
0,66,-4
0,67,-3
0,68,-3
0,69,-3
0,70,-3
0,71,-3
0,72,-3
0,73,-3
0,74,-3
0,75,-3
0,76,-3
0,77,-3
0,78,-3
0,79,-3
0,80,-3
0,81,-3
0,82,-3
0,83,-3
0,84,-2
0,85,-2
0,86,-2
0,87,-2
0,88,-2
0,89,-2
0,90,-2
0,91,-2
0,92,-2
0,93,-2
0,94,-2
0,95,-2
0,96,-2
0,97,-2
0,98,-1
0,99,-1
0,100,-1
0,101,-1
0,102,-1
0,103,-1
0,104,-1
0,105,-1
0,106,-1
0,107,-1
0,108,-1
0,109,-1
0,110,-1
0,111,-1
0,112,-1
0,113,-1
0,114,-1
0,115,-1
0,116,-1
0,117,-1
0,118,-0
0,119,-0
0,120,0
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,126,0
0,127,0
0,128,0
0,129,0
0,130,0
0,131,0
0,132,0
0,133,0
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,0
0,140,0
0,141,0
0,142,0
0,143,0
0,144,0
0,145,0
0,146,0
0,147,0
0,148,0
0,149,0
0,150,0
0,151,0
0,152,0
0,153,0
0,154,0
0,155,0
0,156,0
0,157,0
0,158,1
0,159,1
0,160,1
0,161,1
0,162,1
0,163,1
0,164,1
0,165,2
0,166,2
0,167,2
0,168,3
0,169,3
0,170,3
0,171,3
0,172,3
0,173,2
0,174,2
0,175,2
0,176,1
0,177,1
0,178,0
0,179,0
0,180,0
0,181,0
0,182,0
0,183,0
0,184,-0
0,185,-0
0,186,-0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,0
0,192,0
0,193,0
0,194,-0
0,195,-0
0,196,-0
0,197,-0
0,198,-0
0,199,-0
0,200,-0
0,201,-0
0,202,-0
0,203,-0
0,204,-0
0,205,-0
0,206,-0
0,207,-0
0,208,-0
0,209,-0
0,210,-0
0,211,-0
0,212,-0
0,213,-0
0,214,-0
0,215,-0
0,216,-0
0,217,-0
0,218,-1
0,219,-1
0,220,-1
0,221,-1
0,222,-1
0,223,-1
0,224,-1
0,225,-1
0,226,-3
0,227,-3
0,228,-3
0,229,-3
0,230,-3
0,231,-3
0,232,-3
0,233,-3
0,234,-3
0,235,-3
0,236,-2
0,237,-2
0,238,-2
0,239,-2
0,240,-1
0,241,-1
0,242,-1
0,243,-1
0,244,-1
0,245,-0
0,246,-0
0,247,-0
0,248,-0
0,249,-0
0,250,-0
0,251,-0
0,252,-0
0,253,-0
0,254,-0
0,255,-0
0,256,-0
0,257,-1
0,258,-1
0,259,-1
0,260,-1
0,261,-1
0,262,-2
0,263,-2
0,264,-2
0,265,-2
0,266,-2
0,267,-2
0,268,-2
0,269,-2
0,270,-2
0,271,-2
0,272,-2
0,273,-2
0,274,-2
0,275,-2
0,276,-2
0,277,-2
0,278,-1
0,279,-1
0,280,-1
0,281,-1
0,282,-1
0,283,-0
0,284,-0
0,285,-0
0,286,-0
0,287,-0
0,288,-0
0,289,-0
0,290,-0
0,291,-0
0,292,-0
0,293,-0
0,294,-0
0,295,-0
0,296,-0
0,297,-1
0,298,-1
0,299,-1
0,300,-1
0,301,-1
0,302,-1
0,303,-1
0,304,-1
0,305,-1
0,306,-1
0,307,-1
0,308,-1
0,309,-1
0,310,-1
0,311,-1
0,312,-1
0,313,-1
0,314,-1
0,315,-1
0,316,-1
0,317,-1
0,318,-1
0,319,-1
0,320,-1
0,321,-1
0,322,-1
0,323,-1
0,324,-1
0,325,-1
0,326,-1
0,327,-1
0,328,-1
0,329,-1
0,330,-1
0,331,-1
0,332,-1
0,333,-1
0,334,-1
0,335,-1
0,336,-1
0,337,-1
0,338,-1
0,339,-1
0,340,-1
0,341,-1
0,342,-1
0,343,-0
0,344,-0
0,345,-0
0,346,-0
0,347,-0
0,348,-0
0,349,-0
0,350,-0
0,351,-0
0,352,-0
0,353,-0
0,354,-0
0,355,-0
0,356,-0
0,357,-0
0,358,-0
0,359,-0
0,360,-0
0,361,-0
0,362,-0
0,363,-0
0,364,-0
0,365,-0
0,366,-0
0,367,-0
0,368,-0
0,369,-0
0,370,-0
0,371,-0
0,372,-0
0,373,-0
0,374,-0
0,375,-0
0,376,-0
0,377,-0
0,378,-0
0,379,-0
0,380,-0
0,381,-0
0,382,-0
0,383,-0
0,384,-0
0,385,-0
0,386,-0
0,387,-0
0,388,-0
0,389,-0
0,390,-0
0,391,-0
0,392,-0
0,393,-0
0,394,-0
0,395,-0
0,396,-0
0,397,-0
0,398,-0
0,399,-0
0,400,-0
0,401,-0
0,402,-0
0,403,-0
0,404,-0
0,405,-0
0,406,-0
0,407,-0
0,408,-0
0,409,-0
0,410,-0
0,411,-0
0,412,-0
0,413,-1
0,414,-1
0,415,-1
0,416,-1
0,417,-1
0,418,-1
0,419,-1
0,420,-1
0,421,-1
0,422,-1
0,423,-1
0,424,-1
0,425,-1
0,426,-1
0,427,-1
0,428,-1
0,429,-1
0,430,-1
0,431,-2
0,432,-2
0,433,-2
0,434,-2
0,435,-2
0,436,-2
0,437,-2
0,438,-2
0,439,-2
0,440,-2
0,441,-2
0,442,-2
0,443,-2
0,444,-2
0,445,-2
0,446,-2
0,447,-2
0,448,-2
0,449,-2
0,450,-1
0,451,-1
0,452,-1
0,453,-1
0,454,-1
0,455,-1
0,456,-1
0,457,-1
0,458,-1
0,459,-1
0,460,-1
0,461,-1
0,462,-1
0,463,-1
0,464,-0
0,465,-0
0,466,-0
0,467,-0
0,468,-0
0,469,-0
0,470,-0
0,471,-0
0,472,-0
0,473,-1
0,474,-1
0,475,-1
0,476,-1
0,477,-1
0,478,-1
0,479,-1
0,480,-1
0,481,-1
0,482,-1
0,483,-1
0,484,-1
0,485,-1
0,486,-1
0,487,-1
0,488,-1
0,489,-1
0,490,-1
0,491,-1
0,492,-1
0,493,-1
0,494,-1
0,495,-1
0,496,-1
0,497,-1
0,498,-1
0,499,-1
0,500,-1
0,501,-1
0,502,-1
0,503,-1
0,504,-1
0,505,-1
0,506,-1
0,507,-1
0,508,-1
0,509,-1
0,510,-1
0,511,-1
0,512,-1
0,513,-1
0,514,-1
0,515,-1
0,516,-1
0,517,-1
0,518,-1
0,519,-1
0,520,-1
0,521,-1
0,522,-1
0,523,-1
0,524,-1
0,525,-1
0,526,-1
0,527,-2
0,528,-2
0,529,-2
0,530,-2
0,531,-2
0,532,-2
0,533,-2
0,534,-2
0,535,-2
0,536,-2
0,537,-2
0,538,-2
0,539,-2
0,540,-2
0,541,-2
0,542,-2
0,543,-2
0,544,-2
0,545,-2
0,546,-2
0,547,-2
0,548,-1
